10
10
-0.203108	-0.134577	0.003088	-0.099681	-0.043563	-0.015320	0.212906	-0.287274	0.223873	0.101405	
-0.265067	-0.132624	-0.017656	-0.154759	-0.027031	-0.023533	0.266414	-0.303766	0.268572	0.106665	
0.102998	0.022405	-0.013458	0.076853	0.015791	-0.021122	-0.107491	0.082024	-0.062780	-0.021193	
-0.280766	-0.146495	-0.008011	-0.149753	-0.040281	-0.015254	0.285294	-0.346370	0.280360	0.112492	
0.451040	0.290476	0.012491	0.242548	0.077434	0.048529	-0.453669	0.606368	-0.498628	-0.209121	
0.238358	0.054652	-0.009660	0.156987	0.008085	-0.033222	-0.232770	0.175485	-0.162300	-0.037670	
-0.284413	-0.089400	-0.001311	-0.137290	-0.031566	0.002418	0.274472	-0.252670	0.236877	0.073730	
-0.048405	-0.056502	-0.004306	-0.028138	-0.014858	-0.011201	0.060903	-0.126178	0.088039	0.040405	
0.115305	0.021678	-0.013297	0.066689	0.010335	-0.029058	-0.112630	0.053544	-0.052162	0.011241	
0.321557	0.072390	-0.039517	0.245513	0.000555	-0.039743	-0.297641	0.199557	-0.187691	-0.021678	
